Source,Target
1087620845453934592,@williamsruto
1087620845453934592,@railaodinga
953297736924884992,@williamsruto
769870766,@williamsruto
769870766,@railaodinga
1081261356291108864,@williamsruto
1081261356291108864,@railaodinga
1487324142852583424,@williamsruto
1487324142852583424,@railaodinga
1709442834,@williamsruto
452242832,@williamsruto
452242832,@williamsruto
452242832,@railaodinga
1709442834,@williamsruto
1709442834,@railaodinga
3398520663,@williamsruto
3398520663,@railaodinga
1501136235842129920,@williamsruto
1501136235842129920,@railaodinga
914416013164384256,@williamsruto
1128952871209394176,@williamsruto
1128952871209394176,@railaodinga
1507633106907508736,@williamsruto
1507633106907508736,@railaodinga
1370982717395984384,@williamsruto
1370982717395984384,@railaodinga
1128952871209394176,@williamsruto
1530216656617844736,@williamsruto
1530216656617844736,@williamsruto
1530216656617844736,@railaodinga
1422162942305443840,@williamsruto
1422162942305443840,@railaodinga
914416013164384256,@williamsruto
914416013164384256,@railaodinga
807282746569723904,@williamsruto
807282746569723904,@railaodinga
352958065,@williamsruto
283499192,@williamsruto
283499192,@railaodinga
97443396,@williamsruto
97443396,@railaodinga
902379652978794496,@williamsruto
902379652978794496,@railaodinga
806168491661361152,@williamsruto
2197144079,@williamsruto
566181766,@williamsruto
566181766,@railaodinga
835103019855405056,@williamsruto
835103019855405056,@williamsruto
835103019855405056,@railaodinga
954251091771908096,@williamsruto
954251091771908096,@railaodinga
1143527220784304128,@williamsruto
1143527220784304128,@railaodinga
1428730092243591168,@williamsruto
1428730092243591168,@railaodinga
99850898,@williamsruto
99850898,@railaodinga
1150123559731286016,@williamsruto
1150123559731286016,@railaodinga
2331682156,@williamsruto
2331682156,@railaodinga
1207502099417849856,@williamsruto
1207502099417849856,@railaodinga
784689420385521664,@williamsruto
784689420385521664,@railaodinga
1709642160,@williamsruto
1709642160,@railaodinga
953279038138781696,@williamsruto
953279038138781696,@railaodinga
953846779648397312,@williamsruto
953846779648397312,@railaodinga
848098918403538944,@williamsruto
848098918403538944,@railaodinga
464866496,@williamsruto
464866496,@railaodinga
39303612,@williamsruto
39303612,@railaodinga
1262077778,@williamsruto
1262077778,@railaodinga
1650677138,@williamsruto
1650677138,@railaodinga
1475159683367411712,@williamsruto
1475159683367411712,@railaodinga
3300351310,@williamsruto
3300351310,@railaodinga
939465940856688640,@williamsruto
939465940856688640,@railaodinga
1487479680634654720,@williamsruto
1487479680634654720,@railaodinga
940013503087284224,@williamsruto
940013503087284224,@williamsruto
940013503087284224,@railaodinga
897064624050364416,@williamsruto
897064624050364416,@railaodinga
1113663236782555136,@williamsruto
3430248934,@williamsruto
3430248934,@williamsruto
3430248934,@railaodinga
92214434,@williamsruto
92214434,@railaodinga
1437123596112080896,@williamsruto
1437123596112080896,@railaodinga
99850898,@williamsruto
465511753,@williamsruto
465511753,@railaodinga
1035809403805556736,@williamsruto
1035809403805556736,@railaodinga
1670683963,@williamsruto
1670683963,@railaodinga
243769015,@williamsruto
243769015,@railaodinga
2547292226,@williamsruto
