Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
3255314446,bravin_siwa,neutral,individual,unknown,24.6,5624,1414667000,5624,773,47410,3331
819177433127591936,benardongeri_,neutral,individual,unknown,0.0,901,1414667000,901,967,24235,9
264764057,Kibet_AraapKogo,neutral,individual,unknown,0.0,1019,1414667000,1019,1193,12206,169
1425118747992412160,KevinWama1,positive,individual,male,0.0,245,1414667000,245,497,3291,0
2267336859,NgeiywoMartin,neutral,individual,unknown,0.0,464,1414667000,464,490,20714,0
633145155,CeoBen,neutral,individual,male,0.0,1246,1414667000,1246,3893,18053,446
3602768838,DenfelixK,neutral,individual,male,0.0,51,1414667000,51,82,1196,0
469540013,PHIAMAX,positive,individual,unknown,40.4,8275,1414667000,3218,1311,16632,6062
1101868129,EKipkeu,neutral,individual,unknown,0.0,300,1414667000,300,1990,744,0
932627702837805056,MeshMpendwa,neutral,individual,unknown,0.0,312,1414667000,312,717,4245,0
452242832,MaithaKarisa,neutral,individual,unknown,0.0,1043,1414667000,1043,854,75736,200
1135863677738016768,flairampos,neutral,individual,unknown,0.0,187,1414667000,187,429,3494,0
1413042578686156800,ChamdanyKip,neutral,individual,unknown,0.0,328,1414667000,328,971,1800,0
1488152872634261504,manyongeisaac1,neutral,individual,unknown,0.0,396,1414667000,396,1175,254,0
961644989771022336,Jeffhendriksgit,neutral,individual,male,0.0,82,1414667000,82,336,5138,0
781751568349659136,shaddykym,neutral,individual,unknown,0.0,206,1414667000,206,228,11838,0
1372853560220786688,ROBINSONISAAC18,neutral,individual,male,0.0,338,1414667000,338,635,7722,0
83797492,IMIrungu,neutral,individual,male,0.0,300,1414667000,300,533,3751,0
123837178,sarahmurathime,neutral,individual,female,0.0,198,1414667000,198,466,5233,0
1128952871209394176,Frank_KanaTech,neutral,individual,male,33.3,11121,1414667000,11121,9834,27357,5271
954251091771908096,kelvin_mwebia,neutral,individual,unknown,2.0,1966,1414667000,1966,1456,24021,1156
1056574623221989376,Joe_munene1,neutral,individual,unknown,31.1,9309,1414667000,9309,9869,15530,4717
1172439818703257600,0066Jeff,neutral,individual,unknown,4.4,2448,1414667000,2448,4027,18241,1542
1445090591155658752,TevinMacharia,neutral,individual,unknown,0.0,433,1414667000,433,988,710,0
1095591632152469504,mw_enda,neutral,individual,male,0.0,1530,1414667000,1530,1263,4507,750
2405066607,Brianketer5,neutral,individual,unknown,2.0,1974,1414667000,1974,1621,19180,1162
714157131042332672,Mbarujanjimoib1,neutral,individual,unknown,0.8,1773,1414667000,1773,4913,11341,984
848802793104093184,Danielkivondo3,neutral,individual,male,0.0,499,1414667000,499,1055,24466,0
66973927,karonei,neutral,individual,unknown,0.0,698,1414667000,698,2287,2497,0
842388135426326528,benlagat693,neutral,individual,unknown,0.0,313,1414667000,313,430,7693,0
953279038138781696,MrBiwott,neutral,individual,unknown,0.9,1793,1414667000,1793,303,109558,1002
1453232840456478720,korirek,neutral,individual,unknown,0.0,57,1414667000,57,71,2052,0
1270287150647517184,JosephTulanga,neutral,individual,unknown,6.5,3106,1414667000,3106,3851,14152,1999
390858566,JeffreyNgetich,neutral,individual,male,6.1,2972,1414667000,2972,4874,12277,1911
1506291998298361856,MOTARI25,neutral,individual,unknown,0.0,1553,1414667000,1553,888,13164,773
1175382081758814208,Benn_macharia,neutral,individual,male,15.5,3953,1414667000,3953,2034,19742,2505
1499772780144902144,alex_keeja,neutral,individual,male,0.0,270,1414667000,270,259,9165,0
3009715384,CyrusRintari,neutral,individual,male,1.3,1858,1414667000,1858,2683,16784,1061
3632986397,GLitunya,neutral,individual,unknown,0.0,1214,1414667000,1214,4977,13554,409
1562780756,JayReagans,neutral,individual,unknown,0.0,448,1414667000,448,3183,4873,0
978622852659281920,KingKwemoi,neutral,individual,male,0.0,518,1414667000,518,330,20338,0
826753940125519872,HalfLuo_,neutral,individual,unknown,25.9,6023,1414667000,6023,5967,25591,3505
609210938,umosoo,neutral,individual,unknown,0.0,76,1414667000,76,111,4339,0
1537065858,Waigwabon,neutral,individual,male,0.0,1181,1414667000,1181,3020,7498,370
863834392220884992,EliasKabere,neutral,individual,unknown,0.0,355,1414667000,355,481,11069,0
1154766015378669568,Dequinto9,neutral,individual,unknown,0.0,586,1414667000,586,325,4573,0
3165816080,BasilManaseh,neutral,individual,male,0.0,52,1414667000,52,76,402,0
1400404795031175168,SamGs07543149,neutral,individual,unknown,0.0,337,1414667000,337,265,20862,0
1122877167057158144,TwahirMwale,neutral,individual,unknown,0.0,302,1414667000,302,587,8505,0
801334893196275712,ondu_peter,neutral,individual,unknown,0.0,1286,1414667000,1286,2213,34462,491
1232719409560653824,KipngenoGabriel,neutral,individual,unknown,0.0,887,1414667000,887,1425,6428,0
996072396292546560,NeddoTatayo,neutral,individual,male,17.5,4114,1414667000,4114,4756,33871,2593
1404695980621058048,JumaFrred,neutral,individual,unknown,0.0,359,1414667000,359,664,896,0
1207502099417849856,Honkorirsammy,neutral,individual,male,0.0,876,1414667000,876,1684,7164,0
